SampleID	Profile	Batch	Soil	Time	Replicate	CollectionDate	Status	Freezer_Box	Yield1	Yield2	Yield
WUB_VD32	ViromeD	B	Hopland	168	2	01-15-2021	Wet	1	0.675	0.667	0.671
WUB_VD33	ViromeD	B	Hopland	168	3	01-15-2021	Wet	1	0.687	0.678	0.6825
WUB_VD34	ViromeD	B	McLaughlin	168	1	01-15-2021	Wet	1	0.464	0.46	0.462
WUB_VD35	ViromeD	B	McLaughlin	168	2	01-15-2021	Wet	1	0.476	0.47	0.473
WUB_VD36	ViromeD	B	McLaughlin	168	3	01-15-2021	Wet	1	0.605	0.588	0.5965
WUB_VD37	ViromeD	B	Hopland	240	1	01-18-2021	Wet	1	0.846	0.841	0.8435
WUB_VD38	ViromeD	B	Hopland	240	2	01-18-2021	Wet	1	0.861	0.853	0.857
WUB_VD39	ViromeD	B	Hopland	240	3	01-18-2021	Wet	1	0.708	0.699	0.7035
WUB_VD40	ViromeD	B	McLaughlin	240	1	01-18-2021	Wet	1	0.637	0.628	0.6325
WUB_VD41	ViromeD	B	McLaughlin	240	2	01-18-2021	Wet	1	0.615	0.604	0.6095
WUB_VD42	ViromeD	B	McLaughlin	240	3	01-18-2021	Wet	1	0.51	0.5	0.505
WUB_VD43	ViromeD	B	Hopland	240	1	01-18-2021	Dry	1	0.115	0.114	0.1145
WUB_VD44	ViromeD	B	Hopland	240	2	01-18-2021	Dry	1	0.096	0.097	0.0965
WUB_VD45	ViromeD	B	Hopland	240	3	01-18-2021	Dry	1	0.109	0.107	0.108
WUB_VD46	ViromeD	B	McLaughlin	240	1	01-18-2021	Dry	1	0.073	0.073	0.073
WUB_VD47	ViromeD	B	McLaughlin	240	2	01-18-2021	Dry	1	0.079	0.078	0.0785
WUB_VD48	ViromeD	B	McLaughlin	240	3	01-18-2021	Dry	1	0.078	0.077	0.0775
WUA_VN01	ViromeN	A	JepsonTop	0	1	11-29-2020	Dry	1	5.89	6.07	5.98
WUA_VN02	ViromeN	A	JepsonTop	0	2	11-29-2020	Dry	1	5.77	5.93	5.85
WUA_VN03	ViromeN	A	JepsonTop	0	3	11-29-2020	Dry	1	5.91	6.18	6.045
WUA_VN04	ViromeN	A	JepsonBot	0	1	11-29-2020	Dry	1	3.23	3.37	3.3
WUA_VN05	ViromeN	A	JepsonBot	0	2	11-29-2020	Dry	1	1.75	1.81	1.78
WUA_VN06	ViromeN	A	JepsonBot	0	3	11-29-2020	Dry	1	1.66	1.62	1.64
WUA_VN19	ViromeN	A	JepsonTop	24	1	11-30-2020	Wet	1	1.78	1.81	1.795
WUA_VN20	ViromeN	A	JepsonTop	24	2	11-30-2020	Wet	1	1.42	1.44	1.43
WUA_VN21	ViromeN	A	JepsonTop	24	3	11-30-2020	Wet	1	1.24	1.28	1.26
WUA_VN22	ViromeN	A	JepsonBot	24	1	11-30-2020	Wet	1	1.39	1.41	1.4
WUA_VN23	ViromeN	A	JepsonBot	24	2	11-30-2020	Wet	1	1.27	1.28	1.275
WUA_VN24	ViromeN	A	JepsonBot	24	3	11-30-2020	Wet	1	1.3	1.14	1.22
WUA_VN25	ViromeN	A	JepsonTop	48	1	12-01-2020	Wet	1	1.22	1.19	1.205
WUA_VN26	ViromeN	A	JepsonTop	48	2	12-01-2020	Wet	1	1.64	1.6	1.62
WUA_VN27	ViromeN	A	JepsonTop	48	3	12-01-2020	Wet	1	1.5	1.49	1.495
WUA_VN28	ViromeN	A	JepsonBot	48	1	12-01-2020	Wet	1	1.6	1.58	1.59
WUA_VN29	ViromeN	A	JepsonBot	48	2	12-01-2020	Wet	1	1.66	1.63	1.645
WUA_VN30	ViromeN	A	JepsonBot	48	3	12-01-2020	Wet	1	1.59	1.53	1.56
WUA_VN31	ViromeN	A	JepsonTop	72	1	12-02-2020	Wet	1	1.51	1.52	1.515
WUA_VN32	ViromeN	A	JepsonTop	72	2	12-02-2020	Wet	1	1.66	1.61	1.635
WUA_VN33	ViromeN	A	JepsonTop	72	3	12-02-2020	Wet	1	1.6	1.58	1.59
WUA_VN34	ViromeN	A	JepsonBot	72	1	12-02-2020	Wet	1	1.36	1.36	1.36
WUA_VN35	ViromeN	A	JepsonBot	72	2	12-02-2020	Wet	1	1.69	1.71	1.7
WUA_VN36	ViromeN	A	JepsonBot	72	3	12-02-2020	Wet	1	1.87	1.88	1.875
WUA_VN37	ViromeN	A	JepsonTop	120	1	12-04-2020	Wet	2	1.53	1.54	1.535
WUA_VN38	ViromeN	A	JepsonTop	120	2	12-04-2020	Wet	2	1.61	1.61	1.61
WUA_VN39	ViromeN	A	JepsonTop	120	3	12-04-2020	Wet	2	1.45	1.45	1.45
WUA_VN40	ViromeN	A	JepsonBot	120	1	12-04-2020	Wet	2	1.74	1.74	1.74
WUA_VN41	ViromeN	A	JepsonBot	120	2	12-04-2020	Wet	2	1.76	1.75	1.755
WUA_VN42	ViromeN	A	JepsonBot	120	3	12-04-2020	Wet	2	1.72	1.74	1.73
WUA_VN43	ViromeN	A	JepsonTop	168	1	12-06-2020	Wet	2	2.01	2.03	2.02
WUA_VN44	ViromeN	A	JepsonTop	168	2	12-06-2020	Wet	2	1.82	1.84	1.83
WUA_VN45	ViromeN	A	JepsonTop	168	3	12-06-2020	Wet	2	1.66	1.69	1.675
WUA_VN46	ViromeN	A	JepsonBot	168	1	12-06-2020	Wet	2	2.46	2.48	2.47
WUA_VN47	ViromeN	A	JepsonBot	168	2	12-06-2020	Wet	2	2.83	2.85	2.84
WUA_VN48	ViromeN	A	JepsonBot	168	3	12-06-2020	Wet	2	1.7	1.68	1.69
WUA_VN49	ViromeN	A	JepsonTop	240	1	12-09-2020	Wet	2	1.8	1.83	1.815
WUA_VN50	ViromeN	A	JepsonTop	240	2	12-09-2020	Wet	2	1.61	1.6	1.605
WUA_VN51	ViromeN	A	JepsonTop	240	3	12-09-2020	Wet	2	1.59	1.59	1.59
WUA_VN52	ViromeN	A	JepsonBot	240	1	12-09-2020	Wet	2	2.8	2.91	2.855
WUA_VN53	ViromeN	A	JepsonBot	240	2	12-09-2020	Wet	2	2.56	2.56	2.56
WUA_VN54	ViromeN	A	JepsonBot	240	3	12-09-2020	Wet	2	1.58	1.59	1.585
WUA_VN55	ViromeN	A	JepsonTop	240	1	12-08-2020	Dry	2	4.55	4.59	4.57
WUA_VN56	ViromeN	A	JepsonTop	240	2	12-08-2020	Dry	2	3.36	3.39	3.375
WUA_VN57	ViromeN	A	JepsonTop	240	3	12-08-2020	Dry	2	2.72	2.68	2.7
WUA_VN58	ViromeN	A	JepsonBot	240	1	12-08-2020	Dry	2	1.61	1.58	1.595
