SampleID	Profile	Soil	Status	hrs_post_wetup	DNA_yield
WUA_VN55	Untreated Virome	Jepson Mound	Dry	240	4.57
WUA_VN56	Untreated Virome	Jepson Mound	Dry	240	3.375
WUA_VN57	Untreated Virome	Jepson Mound	Dry	240	2.7
WUA_VN58	Untreated Virome	Jepson Swale	Dry	240	1.595
WUA_VN59	Untreated Virome	Jepson Swale	Dry	240	1.53
WUA_VN60	Untreated Virome	Jepson Swale	Dry	240	1.315
WUB_VN01	Untreated Virome	Hopland	Dry	0	3.905
WUB_VN02	Untreated Virome	Hopland	Dry	0	3.87
WUB_VN03	Untreated Virome	Hopland	Dry	0	3.91
WUB_VN04	Untreated Virome	McLaughlin	Dry	0	2.73
WUB_VN05	Untreated Virome	McLaughlin	Dry	0	2.88
WUB_VN06	Untreated Virome	McLaughlin	Dry	0	3.63
WUB_VN07	Untreated Virome	Hopland	Wet	24	1.715
WUB_VN08	Untreated Virome	Hopland	Wet	24	1.345
WUB_VN09	Untreated Virome	Hopland	Wet	24	1.37
WUB_VN10	Untreated Virome	McLaughlin	Wet	24	1.48
WUB_VN11	Untreated Virome	McLaughlin	Wet	24	2.085
WUB_VN12	Untreated Virome	McLaughlin	Wet	24	2.13
WUA_TM01	Total MetaG	Jepson Mound	Dry	0	35.55
WUA_TM02	Total MetaG	Jepson Mound	Dry	0	35.1
WUA_TM03	Total MetaG	Jepson Mound	Dry	0	41
WUA_TM04	Total MetaG	Jepson Swale	Dry	0	34.75
WUA_TM05	Total MetaG	Jepson Swale	Dry	0	38.4
WUA_TM06	Total MetaG	Jepson Swale	Dry	0	38.5
WUA_TM19	Total MetaG	Jepson Mound	Wet	24	42.65
WUA_TM20	Total MetaG	Jepson Mound	Wet	24	39.05
WUA_TM21	Total MetaG	Jepson Mound	Wet	24	47.6
WUA_TM22	Total MetaG	Jepson Swale	Wet	24	31.9
WUA_TM23	Total MetaG	Jepson Swale	Wet	24	30.15
WUA_TM24	Total MetaG	Jepson Swale	Wet	24	32.55
WUA_TM25	Total MetaG	Jepson Mound	Wet	48	42.25
WUA_TM26	Total MetaG	Jepson Mound	Wet	48	46.65
WUA_TM27	Total MetaG	Jepson Mound	Wet	48	45.2
WUA_TM28	Total MetaG	Jepson Swale	Wet	48	41.75
WUA_TM29	Total MetaG	Jepson Swale	Wet	48	40.55
WUA_TM30	Total MetaG	Jepson Swale	Wet	48	39.95
WUA_TM31	Total MetaG	Jepson Mound	Wet	72	46.3
WUA_TM32	Total MetaG	Jepson Mound	Wet	72	52.5
WUA_TM33	Total MetaG	Jepson Mound	Wet	72	34.6
WUA_TM34	Total MetaG	Jepson Swale	Wet	72	31.8
WUA_TM35	Total MetaG	Jepson Swale	Wet	72	48.3
WUA_TM36	Total MetaG	Jepson Swale	Wet	72	34.4
WUA_TM37	Total MetaG	Jepson Mound	Wet	120	36.2
WUA_TM38	Total MetaG	Jepson Mound	Wet	120	53
WUA_TM39	Total MetaG	Jepson Mound	Wet	120	44
WUA_TM40	Total MetaG	Jepson Swale	Wet	120	39
WUA_TM41	Total MetaG	Jepson Swale	Wet	120	32.35
WUA_TM42	Total MetaG	Jepson Swale	Wet	120	36.25
WUA_TM43	Total MetaG	Jepson Mound	Wet	168	32.4
WUA_TM44	Total MetaG	Jepson Mound	Wet	168	46.4
WUA_TM45	Total MetaG	Jepson Mound	Wet	168	39.3
WUA_TM46	Total MetaG	Jepson Swale	Wet	168	39.25
WUA_TM47	Total MetaG	Jepson Swale	Wet	168	33.65
WUA_TM48	Total MetaG	Jepson Swale	Wet	168	38.55
WUA_TM49	Total MetaG	Jepson Mound	Wet	240	31.6
WUA_TM50	Total MetaG	Jepson Mound	Wet	240	41.45
WUA_TM51	Total MetaG	Jepson Mound	Wet	240	39.2
WUA_TM52	Total MetaG	Jepson Swale	Wet	240	29.35
WUA_TM53	Total MetaG	Jepson Swale	Wet	240	32
WUA_TM54	Total MetaG	Jepson Swale	Wet	240	29.45
WUB_TM01	Total MetaG	Hopland	Dry	0	19.55
WUB_TM02	Total MetaG	Hopland	Dry	0	34.85
WUB_TM03	Total MetaG	Hopland	Dry	0	26.2
WUB_TM04	Total MetaG	McLaughlin	Dry	0	45.2
