vOTU_ID	Soil	Cluster	ViralOrder	ViralFamily	ViralGenus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus	HostSpecies
WUB_VD37_contig_35358	Hopland	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD29_contig_69135	Hopland	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD49_contig_73811	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD42_contig_94777	McLaughlin	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD53_contig_114811	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	TEKIR-8	TEKIR-8 sp008080765
WUB_VD41_contig_82502	McLaughlin	Late responders	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albogriseolus
WUA_VD44_contig_8244	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD50_contig_20601	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD38_contig_195172	Hopland	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VD49_contig_112362	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUA_VN45_contig_151839	Jepson Mound	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD42_contig_13626	McLaughlin	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD36_contig_88144	McLaughlin	Late responders	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
